Date,Adj Close,Open,High,Low,Close,Volume,neg_sentiment_cnt,neu_sentiment_cnt,pos_sentiment_cnt,mean_neg_sentiment_prob,mean_neu_sentiment_prob,mean_pos_sentiment_prob
2023-05-12,283.309,285.29,287.8,280.46,283.4,27402700,0.0,1.0,0.0,6.382040737662464e-05,0.9998518228530884,8.43136731418781e-05
2023-05-15,289.437,285.08,289.69,281.52,289.53,29392600,0.0,3.0,0.0,0.01528145632619271,0.9511601726214091,0.03355835318992225
2023-05-16,292.036,288.41,298.7,288.32,292.13,44940500,0.0,1.0,4.0,0.00025778567578527145,0.21601471112226137,0.78372750178969
2023-05-17,301.683,295.84,301.99,294.3,301.78,43253500,0.0,2.0,5.0,0.04949566649780276,0.19635041543889592,0.754153916886675
2023-05-18,316.678,304.1,318.28,303.2,316.78,74872500,1.0,0.0,3.0,0.24696349089572323,0.012111213389289333,0.7409252810612088
2023-05-19,312.54,315.36,315.8,309.16,312.64,47312400,1.0,2.0,3.0,0.1665777311924709,0.3621092838414673,0.471312986878426
2023-05-22,311.66,309.01,315.2,306.8,311.76,37200000,1.0,0.0,3.0,0.2172670436266344,0.06169183607562445,0.7210411144478712
2023-05-23,306.782,310.0,312.88,306.31,306.88,35625300,2.0,1.0,3.0,0.36309454473666847,0.13696866306175556,0.4999368133721873
2023-05-24,305.282,302.1,306.07,298.06,305.38,72141900,2.0,1.0,6.0,0.2230163413348944,0.16545716387756532,0.6115264981401398
2023-05-25,379.678,385.23,394.8,366.35,379.8,154391100,1.0,3.0,2.0,0.17137556621795133,0.5125747921265429,0.3160496067879042
2023-05-26,389.335,378.9,391.7,375.5,389.46,71439700,0.0,1.0,2.0,0.0002402400059509091,0.33437667003211874,0.6653830667346483
2023-05-30,400.981,405.95,419.38,399.49,401.11,92340100,0.0,2.0,4.0,0.026712935058943305,0.3067826132634461,0.6665044526647156
2023-05-31,378.219,394.88,402.95,378.22,378.34,100258000,1.0,2.0,3.0,0.16616275403187805,0.3330716978283211,0.5007655544880739
2023-06-01,397.573,384.89,400.5,383.4,397.7,63587300,1.0,4.0,3.0,0.1353433725648756,0.489700343217919,0.37495630175317274
2023-06-02,393.144,400.97,405.0,390.58,393.27,48165500,0.0,1.0,2.0,0.00019578551048956191,0.33348943004966713,0.6663147786081632
2023-06-05,391.584,389.09,395.65,387.07,391.71,39609400,1.0,2.0,2.0,0.19984282694931607,0.4000515453604748,0.4001056109307683
2023-06-06,386.416,388.3,391.6,381.48,386.54,38872900,2.0,2.0,1.0,0.39910910178296033,0.40065553845488466,0.20023539236790383
2023-06-07,374.669,389.15,394.99,373.56,374.75,51199800,2.0,1.0,4.0,0.2814986293461906,0.14696980229928158,0.5715315634780771
2023-06-08,385.016,377.24,388.64,375.05,385.1,41777200,0.0,5.0,1.0,0.00028210451879810233,0.8258196624810807,0.1738982158331055
2023-06-09,387.616,390.37,397.11,385.67,387.7,42722000,0.0,2.0,1.0,0.0003597075362146522,0.6611855017448155,0.3384547882402937
2023-06-12,394.734,392.0,395.3,386.18,394.82,38870100,0.0,0.0,2.0,0.00023641675943508744,0.0002647954024723731,0.9994988143444061
2023-06-13,410.131,401.86,411.01,397.4,410.22,61320800,1.0,3.0,2.0,0.16876518269782537,0.5159821277023487,0.3152526900266821
2023-06-14,429.877,408.24,430.0,405.52,429.97,74046500,0.0,3.0,1.0,0.0001577062485011993,0.7503823641454801,0.24945995756024786
2023-06-15,426.437,426.02,432.89,421.47,426.53,56862200,0.0,2.0,5.0,0.0033259662107281785,0.28619130270921495,0.7104827181215764
