Date,Adj Close,Open,High,Low,Close,Volume
2023-02-27,147.135,147.71,149.17,147.45,147.92,44998500
2023-02-28,146.627,147.05,149.08,146.83,147.41,50547000
2023-03-01,144.538,146.83,147.23,145.01,145.31,55479000
2023-03-02,145.135,144.38,146.71,143.9,145.91,52238100
2023-03-03,150.228,148.04,151.11,147.33,151.03,70732300
2023-03-06,153.013,153.79,156.3,153.46,153.83,87558000
2023-03-07,150.795,153.7,154.03,151.13,151.6,56182000
2023-03-08,152.058,152.81,153.47,151.83,152.87,47204800
2023-03-09,149.79,153.56,154.54,150.23,150.59,53833600
2023-03-10,147.712,150.21,150.94,147.61,148.5,68572400
2023-03-13,149.671,147.81,153.14,147.7,150.47,84457100
2023-03-14,151.78,151.28,153.4,150.1,152.59,73695900
2023-03-15,152.178,151.19,153.25,149.92,152.99,77167900
2023-03-16,155.023,152.16,156.46,151.64,155.85,76161100
2023-03-17,154.177,156.08,156.74,154.28,155.0,98944600
2023-03-20,156.564,155.07,157.82,154.15,157.4,73641400
2023-03-21,158.434,157.32,159.4,156.54,159.28,73938300
2023-03-22,156.992,159.3,162.14,157.81,157.83,75701800
2023-03-23,158.086,158.83,161.55,157.68,158.93,67622100
2023-03-24,159.399,158.86,160.34,157.85,160.25,59196500
2023-03-27,157.44,159.94,160.77,157.87,158.28,52390300
2023-03-28,156.813,157.97,158.49,155.98,157.65,45992200
2023-03-29,159.916,159.37,161.05,159.35,160.77,51305700
2023-03-30,161.498,161.53,162.47,161.27,162.36,49501700
2023-03-31,164.024,162.44,165.0,161.91,164.9,68749800
2023-04-03,165.288,164.27,166.29,164.22,166.17,56976200
2023-04-04,164.751,166.6,166.84,165.11,165.63,46278300
2023-04-05,162.891,164.74,165.05,161.8,163.76,51511700
2023-04-06,163.786,162.43,164.96,162.0,164.66,45390100
2023-04-10,161.17,161.42,162.03,160.08,162.03,47716900
2023-04-11,159.946,162.35,162.36,160.51,160.8,47644200
2023-04-12,159.25,161.22,162.06,159.78,160.1,50133100
2023-04-13,164.681,161.63,165.8,161.42,165.56,68445600
2023-04-14,164.333,164.59,166.32,163.82,165.21,49386500
2023-04-17,164.353,165.09,165.39,164.03,165.23,41516200
2023-04-18,165.586,166.1,167.41,165.65,166.47,49923000
2023-04-19,166.74,165.8,168.16,165.54,167.63,47720200
2023-04-20,165.765,166.09,167.87,165.56,166.65,52456400
2023-04-21,164.144,165.05,166.45,164.49,165.02,58337300
2023-04-24,164.452,165.0,165.6,163.89,165.33,41949600
2023-04-25,162.9,165.19,166.31,163.73,163.77,48714100
2023-04-26,162.891,163.06,165.28,162.8,163.76,45498800
2023-04-27,167.516,165.19,168.56,165.19,168.41,64902300
2023-04-28,168.779,168.49,169.85,167.88,169.68,55209200
2023-05-01,168.69,169.28,170.45,168.64,169.59,52472900
2023-05-02,167.645,170.09,170.35,167.54,168.54,48425700
2023-05-03,166.561,169.5,170.92,167.16,167.45,65136000
2023-05-04,164.91,164.89,167.04,164.31,165.79,81235400
